Case Type,Status,Request Received (Year),Request Received (Month),Request Closed (Year),Request Closed (Month),Case Active Days at Closure,Case Active Days (grouped),Closed on Time?,Reason (grouped),Number of Records
FOIA Case,Closed,2018,November,2019,January,55,Up to 60 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,January,50,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2018,November,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2019,February,58,Up to 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,January,47,Up to 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2018,December,24,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,May,132,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,22,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,November,6,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2019,February,64,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,October,245,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,23,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Appeals,Closed,2018,November,2019,November,254,More than 60 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,August,191,More than 60 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,February,62,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,March,82,More than 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2019,January,43,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,19,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,February,35,Up to 40 days used,late,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2018,December,24,Up to 40 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,February,45,Up to 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,March,75,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2018,November,11,Up to 20 days used,on time,Full Disclosure,1
FOIA Complaints,Closed,2018,November,2018,November,10,Up to 20 days used,0,No Information Held on How Closed,1
FOIA Complaints,Closed,2018,November,2018,November,0,Up to 20 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,January,37,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,February,57,Up to 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,April,104,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2019,February,68,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2018,December,17,Up to 20 days used,on time,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,June,146,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,April,103,More than 60 days used,late,Full Disclosure,1
FOIA Complaints,Closed,2018,November,2018,December,14,Up to 20 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,August,190,More than 60 days used,late,Refused: Repeat/Duplicate Request,1
FOIA Case,Closed,2018,November,2019,April,88,More than 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2019,April,11,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,January,49,Up to 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2019,June,137,More than 60 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2018,December,20,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,January,51,Up to 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,January,49,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,22,Up to 40 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,January,45,Up to 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,January,48,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2019,May,118,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,48,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,February,62,More than 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,January,48,Up to 60 days used,late,No Information Held on How Closed,1
FOIA Complaints,Closed,2018,November,2018,December,15,Up to 20 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,September,2018,November,49,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2019,January,36,Up to 40 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,November,256,More than 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2018,December,21,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,October,228,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,January,40,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,November,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2020,July,8,Up to 20 days used,on time,Refused: Sec 14 Vexatious,1
FOIA Case,Closed,2018,November,2019,February,52,Up to 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2019,July,177,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2018,December,17,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,37,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,February,60,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,March,76,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,June,139,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,March,71,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2018,December,10,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2019,September,210,More than 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2018,November,10,Up to 20 days used,on time,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2019,January,30,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,January,35,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,30,Up to 40 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,December,2018,December,0,Up to 20 days used,on time,Refused: Sec 14 Vexatious,1
FOIA Complaints,Closed,2018,November,2019,February,61,More than 60 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2018,December,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2018,December,8,Up to 20 days used,on time,Refused: Sec 21/22 Information in Public Domain,1
FOIA Case,Closed,2018,November,2019,May,26,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,February,70,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,8,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2018,December,19,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,February,68,More than 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2019,January,38,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,February,49,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,31,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,10,Up to 20 days used,on time,No Information Held on How Closed,1
FOIA Complaints,Closed,2018,November,2018,December,13,Up to 20 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,January,34,Up to 40 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2018,December,7,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Complaints,Closed,2018,November,2018,December,24,Up to 40 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2018,December,21,Up to 40 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,October,2019,October,245,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,32,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,18,Up to 20 days used,on time,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2018,December,17,Up to 20 days used,on time,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,January,19,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2018,December,25,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,41,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,April,91,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2019,February,41,Up to 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2019,June,150,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,February,56,Up to 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,January,29,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,January,42,Up to 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2019,March,69,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2023 to June,April,31,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,16,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,March,73,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,21,Up to 40 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,January,48,Up to 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,January,43,Up to 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,April,101,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,44,Up to 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,January,16,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2019,January,46,Up to 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2020,January,300,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2020,November,17,Up to 20 days used,on time,Refused: Sec 21/22 Information in Public Domain,1
FOIA Complaints,Closed,2018,November,2018,December,11,Up to 20 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2018,December,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Complaints,Closed,2018,December,2018,December,0,Up to 20 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,February,48,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,February,54,Up to 60 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,January,26,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,23,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,17,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Complaints,Closed,2018,November,2019,January,38,Up to 40 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,June,147,More than 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,April,92,More than 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2018,December,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2019,October,236,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,February,43,Up to 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2018,December,13,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2018,December,15,Up to 20 days used,on time,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,January,28,Up to 40 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2018,December,0,Up to 20 days used,on time,Refused: Sec 14 Vexatious,1
FOIA Case,Closed,2018,November,2018,December,15,Up to 20 days used,on time,Refused: Repeat/Duplicate Request,1
FOIA Case,Closed,2018,November,2019,February,53,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,14,Up to 20 days used,on time,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,January,17,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2018,December,12,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2018,December,15,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Complaints,Closed,2018,November,2018,December,20,Up to 20 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,February,53,Up to 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,February,46,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,25,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,February,65,More than 60 days used,late,Full Disclosure,1
FOIA Complaints,Closed,2018,November,2019,January,43,Up to 60 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2018,December,13,Up to 20 days used,on time,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2018,December,22,Up to 40 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,January,28,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2018,December,10,Up to 20 days used,on time,Refused: Repeat/Duplicate Request,1
FOIA Case,Closed,2018,November,2019,April,95,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,September,211,More than 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,February,42,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,August,195,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,February,64,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2019,February,18,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,January,24,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,January,27,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,February,52,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,November,257,More than 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2019,March,7,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2019,March,11,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2020,January,294,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,21,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,October,2019,January,48,Up to 60 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,October,2018,December,43,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,March,61,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,March,84,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,41,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2019,February,66,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,38,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2019,January,7,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2019,January,33,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,11,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,February,48,Up to 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,May,71,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,21,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,8,Up to 20 days used,on time,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,January,22,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,10,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2018,December,13,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2018,December,7,Up to 20 days used,on time,Request closed by MPS: Invalid,1
FOIA Case,Closed,2018,December,2019,January,38,Up to 40 days used,on time,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,December,2019,April,96,More than 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2019,March,66,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,25,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,7,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,December,2019,February,52,Up to 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,December,2019,January,41,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,March,71,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,31,Up to 40 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,December,2019,January,39,Up to 40 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,December,2019,May,126,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,December,2019,January,6,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,December,2019,February,43,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,February,45,Up to 60 days used,late,Full Disclosure,1
FOIA Complaints,Closed,2018,December,2018,December,16,Up to 20 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,December,2019,January,20,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2019,January,10,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,December,2019,January,35,Up to 40 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,December,2019,January,32,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2019,January,24,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,April,104,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,27,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,22,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2019,January,37,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,22,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,26,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2019,January,24,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2019,January,31,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2018,December,10,Up to 20 days used,on time,Business as Usual,1
FOIA Case,Closed,2018,December,2019,April,100,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,May,119,More than 60 days used,late,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,December,2019,September,210,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,December,2018,December,16,Up to 20 days used,on time,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,December,2019,January,36,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,June,132,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,December,2018,December,9,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2019,February,55,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2018,December,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,December,2019,March,73,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,23,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,39,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Complaints,Closed,2018,November,2019,January,31,Up to 40 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,December,2019,November,246,More than 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,December,2019,January,24,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,December,2019,February,47,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,25,Up to 40 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2019,January,8,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,December,2019,March,40,Up to 40 days used,late,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,December,2019,May,117,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,December,2019,March,75,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,37,Up to 40 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,December,2018,December,11,Up to 20 days used,on time,No Information Held on How Closed,1
FOIA Case,Closed,2018,December,2018,December,8,Up to 20 days used,on time,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2019,March,60,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,February,41,Up to 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2019,January,26,Up to 40 days used,late,Business as Usual,1
FOIA Case,Closed,2018,December,2018,December,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,January,23,Up to 40 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,December,2018,December,9,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,February,40,Up to 40 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,December,2019,February,45,Up to 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,December,2019,April,84,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,December,2018,December,6,Up to 20 days used,on time,Request closed by MPS: Invalid,1
FOIA Case,Closed,2018,December,2019,January,17,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,December,2019,March,44,Up to 60 days used,late,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,December,2019,February,43,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,December,2018,December,8,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,February,42,Up to 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,December,2019,January,29,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,December,2018,December,6,Up to 20 days used,on time,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,December,2019,January,21,Up to 40 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,December,2019,November,235,More than 60 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,December,2019,December,34,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,December,2019,February,44,Up to 60 days used,late,Partial Disclosure,1
